VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20220127-r41035,162,0,0,0,0,1,13,32,329,903,0,0,0,0,9,3,0,0
20220131-r11036,16,0,0,0,1,4,33,45,551,404,0,0,0,0,0,2,0,208
20220202-rd2202,161,0,0,0,4,5,14,46,179,235,0,0,0,0,0,0,258,0
20220203-r41036,157,0,0,0,0,0,15,44,316,759,0,0,0,0,13,10,4,0
20220207-r11037,103,0,0,0,2,7,33,130,788,499,0,0,0,0,0,0,6,128
20220210-r41037,132,0,0,0,0,1,18,34,122,545,0,0,0,0,3,7,0,428
20220214-r11038,85,0,0,0,0,1,9,35,359,385,0,0,0,0,0,2,0,0
20220217-r41038,175,0,0,0,0,2,22,54,298,832,0,0,0,0,9,0,0,8
20220224-r41039,525,0,0,0,0,2,4,38,230,899,0,0,0,0,6,28,8,0
20220228-r11040,170,0,0,0,1,29,52,100,389,999,0,0,0,0,0,4,0,0
20220303-r41040,542,0,0,1,0,0,1,85,141,697,0,0,0,0,5,0,12,0
20220307-r11041,241,0,0,3,10,44,293,400,626,1228,0,0,0,0,1,0,26,34
20220310-r41041,475,0,0,0,1,0,44,58,192,886,0,0,0,0,38,22,0,0
20220314-r11042,164,0,0,0,21,117,253,239,643,1040,0,0,0,0,12,1,0,44
20220317-r41042,150,0,0,0,0,0,0,15,160,625,0,0,0,0,26,2,0,0
20220322-r11043,188,0,0,1,5,13,42,195,617,1488,0,0,0,0,4,1,0,10
20220323-rd2203,650,0,0,0,0,2,3,14,35,90,0,0,0,0,0,0,188,0
20220324-r41043,112,0,0,0,0,11,15,50,129,613,0,0,0,0,12,20,16,0
20220328-r11044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2248
20220329-t2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882
20220331-r41044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738
20220404-r11045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2594
20220407-r41045,11,0,0,0,0,0,3,5,48,197,0,0,0,0,10,0,0,580
20220411-r11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2134
