VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20201105-r4971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538
20201110-t2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534
20201112-r4972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201119-r4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201126-r4974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201201-t2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212
20201202-rd2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201203-r4975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794
20201210-r4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201217-r4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201222-r4978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201229-r4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210107-r4980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210114-r4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210121-r4982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210128-r4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210204-r4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210211-r4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210218-r4986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210225-r4987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210304-r4988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210311-r4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210318-r4990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210325-r4991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210408-r4993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210415-r4994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20210419-r1995,542,0,0,1,1,5,39,104,210,1141,0,0,0,0,4,3,0,0
20210422-r4995,573,0,0,0,0,0,11,47,131,1014,0,0,0,0,6,0,2,0
20210426-r1996,203,0,0,0,0,0,1,6,34,462,0,0,0,0,3,3,0,48
20210429-r4996,652,0,0,0,1,1,8,40,97,742,0,0,0,0,32,99,0,0
20210503-r1997,485,0,0,0,0,0,10,73,186,792,0,0,0,0,14,0,0,0
20210505-rd2104,296,0,0,2,2,15,6,26,76,465,0,0,0,0,6,0,4,0
20210506-r4997,623,0,0,0,0,2,3,33,68,745,0,0,0,0,12,100,92,0
20210510-r1998,454,0,0,0,0,0,11,54,127,757,0,0,0,0,3,0,176,0
20210511-t2146,671,0,0,1,1,4,51,109,150,304,0,0,0,0,14,1,12,764
20210518-r1999,925,0,0,0,0,4,2,21,116,2027,0,0,0,0,3,0,0,572
